Index,Roll Value,Roll Avg
1,6,6.0
2,4,5.0
3,1,3.6666666666666665
4,1,3.0
5,3,3.0
6,5,3.3333333333333335
7,5,3.5714285714285716
8,2,3.375
9,5,3.5555555555555554
10,2,3.4
11,6,3.6363636363636362
12,2,3.5
13,5,3.6153846153846154
14,3,3.5714285714285716
15,3,3.533333333333333
16,4,3.5625
17,3,3.5294117647058822
18,5,3.611111111111111
19,3,3.5789473684210527
20,4,3.6
21,2,3.5238095238095237
22,2,3.4545454545454546
23,6,3.5652173913043477
24,5,3.625
25,1,3.52
26,1,3.423076923076923
27,6,3.5185185185185186
28,1,3.4285714285714284
29,5,3.4827586206896552
30,3,3.466666666666667
31,2,3.4193548387096775
32,3,3.40625
33,3,3.393939393939394
34,4,3.411764705882353
35,1,3.342857142857143
36,5,3.388888888888889
37,5,3.4324324324324325
38,2,3.3947368421052633
39,2,3.358974358974359
40,1,3.3
41,3,3.292682926829268
42,3,3.2857142857142856
43,4,3.302325581395349
44,4,3.3181818181818183
45,6,3.3777777777777778
46,2,3.347826086956522
47,1,3.297872340425532
48,6,3.3541666666666665
49,1,3.306122448979592
50,1,3.26
51,1,3.215686274509804
52,6,3.269230769230769
53,1,3.2264150943396226
54,2,3.2037037037037037
55,5,3.2363636363636363
56,1,3.1964285714285716
57,6,3.245614035087719
58,3,3.2413793103448274
59,5,3.2711864406779663
60,6,3.316666666666667
61,2,3.2950819672131146
62,1,3.2580645161290325
63,4,3.2698412698412698
64,3,3.265625
65,6,3.3076923076923075
66,2,3.287878787878788
67,3,3.283582089552239
68,5,3.3088235294117645
69,5,3.3333333333333335
70,5,3.357142857142857
71,5,3.380281690140845
72,1,3.3472222222222223
73,6,3.3835616438356166
74,3,3.3783783783783785
75,2,3.36
76,4,3.3684210526315788
77,6,3.4025974025974026
78,3,3.3974358974358974
79,1,3.367088607594937
80,4,3.375
81,1,3.345679012345679
82,3,3.341463414634146
83,5,3.36144578313253
84,6,3.392857142857143
85,2,3.376470588235294
86,5,3.395348837209302
87,5,3.413793103448276
88,4,3.4204545454545454
89,4,3.4269662921348316
90,4,3.433333333333333
91,6,3.4615384615384617
92,5,3.4782608695652173
93,1,3.4516129032258065
94,1,3.425531914893617
95,4,3.431578947368421
96,3,3.4270833333333335
97,6,3.4536082474226806
98,6,3.479591836734694
99,5,3.494949494949495
100,2,3.48
101,2,3.4653465346534653
102,1,3.4411764705882355
103,4,3.4466019417475726
104,2,3.4326923076923075
105,2,3.419047619047619
106,2,3.4056603773584904
107,3,3.4018691588785046
108,2,3.388888888888889
109,2,3.376146788990826
110,2,3.3636363636363638
111,2,3.3513513513513513
112,6,3.375
113,4,3.3805309734513274
114,5,3.3947368421052633
115,6,3.417391304347826
116,6,3.439655172413793
117,2,3.427350427350427
118,4,3.4322033898305087
119,1,3.411764705882353
120,5,3.425
121,2,3.4132231404958677
122,4,3.418032786885246
123,1,3.3983739837398375
124,1,3.379032258064516
125,2,3.368
126,3,3.365079365079365
127,3,3.3622047244094486
128,3,3.359375
129,3,3.356589147286822
130,5,3.3692307692307693
131,1,3.351145038167939
132,2,3.340909090909091
133,4,3.345864661654135
134,4,3.3507462686567164
135,3,3.348148148148148
136,4,3.3529411764705883
137,4,3.3576642335766422
138,6,3.3768115942028984
139,6,3.3956834532374103
140,2,3.3857142857142857
141,1,3.368794326241135
142,5,3.380281690140845
143,1,3.3636363636363638
144,6,3.3819444444444446
145,1,3.3655172413793104
146,2,3.356164383561644
147,3,3.3537414965986394
148,1,3.3378378378378377
149,4,3.3422818791946307
150,6,3.36
151,4,3.3642384105960264
152,6,3.3815789473684212
153,1,3.366013071895425
154,6,3.383116883116883
155,6,3.4
156,1,3.3846153846153846
157,1,3.3694267515923566
158,5,3.3797468354430378
159,5,3.389937106918239
160,5,3.4
161,4,3.4037267080745344
162,1,3.388888888888889
163,1,3.374233128834356
164,4,3.3780487804878048
165,1,3.3636363636363638
166,5,3.3734939759036147
167,4,3.377245508982036
168,6,3.392857142857143
169,6,3.408284023668639
170,5,3.4176470588235293
171,3,3.415204678362573
172,2,3.4069767441860463
173,6,3.421965317919075
174,1,3.4080459770114944
175,5,3.4171428571428573
176,3,3.414772727272727
177,6,3.4293785310734464
178,4,3.432584269662921
179,5,3.441340782122905
180,3,3.438888888888889
181,4,3.4419889502762433
182,4,3.4450549450549453
183,4,3.448087431693989
184,6,3.4619565217391304
185,6,3.4756756756756757
186,4,3.478494623655914
187,1,3.46524064171123
188,3,3.4627659574468086
189,1,3.4497354497354498
190,5,3.457894736842105
191,3,3.4554973821989527
192,5,3.4635416666666665
193,5,3.471502590673575
194,5,3.479381443298969
195,1,3.466666666666667
196,6,3.479591836734694
197,2,3.472081218274112
198,2,3.4646464646464645
199,4,3.4673366834170856
200,2,3.46
201,4,3.462686567164179
202,5,3.4702970297029703
203,3,3.4679802955665027
204,4,3.4705882352941178
205,3,3.4682926829268292
206,5,3.4757281553398056
207,4,3.4782608695652173
208,5,3.485576923076923
209,6,3.4976076555023923
210,6,3.5095238095238095
211,1,3.4976303317535544
212,5,3.5047169811320753
213,1,3.492957746478873
214,2,3.485981308411215
215,5,3.4930232558139536
216,5,3.5
217,3,3.4976958525345623
218,1,3.4862385321100917
219,4,3.4885844748858448
220,4,3.4909090909090907
221,1,3.479638009049774
222,1,3.4684684684684686
223,5,3.475336322869955
224,2,3.46875
225,3,3.466666666666667
226,6,3.47787610619469
227,1,3.4669603524229076
228,4,3.469298245614035
229,1,3.458515283842795
230,1,3.4478260869565216
231,2,3.4415584415584415
232,3,3.439655172413793
233,4,3.4420600858369097
234,1,3.4316239316239314
235,3,3.429787234042553
236,5,3.4364406779661016
237,5,3.4430379746835444
238,6,3.453781512605042
239,1,3.4435146443514646
240,6,3.4541666666666666
241,1,3.4439834024896268
242,3,3.4421487603305785
243,2,3.4362139917695473
244,2,3.430327868852459
245,1,3.4204081632653063
246,1,3.410569105691057
247,1,3.4008097165991904
248,6,3.411290322580645
249,3,3.4096385542168677
250,2,3.404
251,4,3.406374501992032
252,5,3.4126984126984126
253,4,3.4150197628458496
254,6,3.425196850393701
255,1,3.4156862745098038
256,4,3.41796875
257,2,3.412451361867704
258,2,3.4069767441860463
259,6,3.416988416988417
260,5,3.423076923076923
261,4,3.425287356321839
262,2,3.4198473282442747
263,5,3.425855513307985
264,3,3.4242424242424243
265,1,3.4150943396226414
266,3,3.4135338345864663
267,4,3.4157303370786516
268,3,3.4141791044776117
269,3,3.412639405204461
270,6,3.422222222222222
271,6,3.4317343173431736
272,6,3.4411764705882355
273,2,3.4358974358974357
274,2,3.4306569343065694
275,3,3.429090909090909
276,6,3.4384057971014492
277,4,3.44043321299639
278,6,3.449640287769784
279,4,3.4516129032258065
280,2,3.4464285714285716
281,1,3.4377224199288254
282,2,3.4326241134751774
283,4,3.4346289752650176
284,6,3.443661971830986
285,6,3.4526315789473685
286,5,3.458041958041958
287,5,3.4634146341463414
288,4,3.4652777777777777
289,6,3.4740484429065743
290,5,3.4793103448275864
291,5,3.484536082474227
292,1,3.4760273972602738
293,5,3.4812286689419794
294,6,3.489795918367347
295,6,3.4983050847457626
296,6,3.5067567567567566
297,6,3.515151515151515
298,2,3.51006711409396
299,6,3.5183946488294313
300,1,3.51
301,3,3.5083056478405314
302,5,3.513245033112583
303,4,3.514851485148515
304,3,3.513157894736842
305,2,3.5081967213114753
306,2,3.503267973856209
307,5,3.50814332247557
308,2,3.5032467532467533
309,1,3.495145631067961
310,6,3.503225806451613
311,4,3.504823151125402
312,6,3.5128205128205128
313,1,3.5047923322683707
314,2,3.5
315,6,3.507936507936508
316,3,3.5063291139240507
317,6,3.5141955835962144
318,3,3.5125786163522013
319,6,3.520376175548589
320,5,3.525
321,3,3.5233644859813085
322,4,3.5248447204968945
323,3,3.523219814241486
324,1,3.515432098765432
325,6,3.523076923076923
326,6,3.5306748466257667
327,4,3.532110091743119
328,6,3.5396341463414633
329,3,3.5379939209726445
330,6,3.5454545454545454
331,5,3.5498489425981874
332,4,3.5512048192771086
333,5,3.5555555555555554
334,1,3.5479041916167664
335,1,3.5402985074626865
336,5,3.544642857142857
337,6,3.5519287833827895
338,6,3.559171597633136
339,6,3.566371681415929
340,4,3.5676470588235296
341,1,3.560117302052786
342,4,3.56140350877193
343,4,3.56268221574344
344,3,3.561046511627907
345,1,3.553623188405797
346,6,3.560693641618497
347,3,3.559077809798271
348,6,3.5660919540229883
349,6,3.5730659025787967
350,6,3.58
351,2,3.5754985754985755
352,3,3.5738636363636362
353,3,3.5722379603399435
354,3,3.5706214689265536
355,6,3.5774647887323945
356,3,3.5758426966292136
357,4,3.57703081232493
358,5,3.5810055865921786
359,4,3.582172701949861
360,4,3.5833333333333335
361,4,3.5844875346260388
362,2,3.5801104972375692
363,5,3.5840220385674932
364,6,3.590659340659341
365,2,3.5863013698630137
366,4,3.587431693989071
367,6,3.5940054495912808
368,4,3.595108695652174
369,3,3.5934959349593494
